SKN,Mean
3.9,16.905444331670697
9.2,11.4484113755433
23.0,14.09836094143763
36.3,18.14828183894615
38.9,19.18543129776278
43.3,19.46984904933249
47.0,12.525184759114879
48.0,15.91470363574237
49.0,12.393041215649824
54.8,14.764083740468052
54.9,15.518826058792824
57.0,16.243771085380388
63.0,20.09487712810786
69.25,18.76398129155618
69.28,20.29146888541375
69.51,20.403686171807927
70.7,14.4865968866762
75.1,14.006996133126165
87.9,19.417362023134967
93.12,16.35014921478709
93.13,17.474899749696363
93.9,20.413244886609817
94.0,17.5211476750607
94.5,16.24958032224084
95.6,17.085703230412467
98.2,20.01338026565749
99.0,14.628122542643665
101.1,15.774745934145825
102.8,12.54438647256926
107.4,9.161117537718413
108.0,9.720681191615473
109.0,12.655232067794746
113.2,10.97848043448621
127.5,15.768530089723603
128.1,13.057289802450127
129.0,12.053659638201196
132.2,18.817094985836587
132.6,20.136797074098823
147.2,17.098270253390172
208.1,21.041780692067704
253.0,15.84862299498648
257.1,14.383217980420024
266.0,14.96224707358659
267.8,12.60231750347231
276.0,12.755361574983137
278.0,10.015389195625731
279.0,6.814316874627533
311.2,19.06242551241034
324.6,15.983763449810409
329.0,17.217027398806756
339.4,9.855304241828902
339.5,3.763513494041004
339.6,-1.2276360423173138
432.4,18.747071804143715
462.4,15.584001104625575
499.11,19.247066652245184
499.12,18.590523681081244
499.13,19.35838729934158
499.8,19.14896094528982
499.9,19.11199922122058
538.0,16.293074894107008
541.2,15.732476081945308
546.0,15.86468196046244
553.0,20.435352988779428
679.0,19.04597372587816
721.5,18.738906630906676
728.2,17.887950183071457
742.4,19.39456094833168
752.6,18.941079593151226
781.31,19.8395789549225
799.0,-8.048371749240589
803.2,17.951548677014223
828.0,18.3559554037209
834.14,19.999374325045316
840.0,15.642965218484564
841.2,18.655586423301745
842.7,18.48354580370022
842.8,19.48952757020418
842.9,18.962394046637346
843.7,19.58901609827725
844.0,15.241505433970726
857.4,18.223463265799484
858.0,17.942331979844266
869.0,18.038916024932025
885.7,16.398747640134783
886.8,13.40777011835157
903.4,20.831120281152202
909.0,20.53482208694554
911.1,20.911422891066973
946.0,18.168841156707654
1023.0,16.32141178139989
1029.0,18.9644672953805
1036.0,17.080062089921096
1063.3,20.44199805098719
1065.3,22.109055655664527
1069.0,15.761696518458802
1074.0,17.751178926844695
1146.0,20.143781235442177
