SKN,Island,albedo,coastDist,dem_250,lai,rf,tpi,windSpeed,LON,LAT,optional
2.32,BI,11.683500289917,11247.60546875,746.064880371094,0.797199726104736,877.497192382812,-2.88560485839844,0.994923651218414,-155.78944,19.10778,True
3.9,BI,12.3316669464111,12794.16796875,930.497985839844,0.794778048992157,1607.60327148438,-0.835583984851837,2.83307123184204,-155.6697222,19.10083333,True
4.15,BI,NA,NA,295.25494384765625,NA,NA,NA,NA,-155.668,18.9928,NA
9.2,BI,11.683500289917,6832.974609375,706.599365234375,0.668504595756531,2738.47338867188,-0.192527770996094,2.93481636047363,-155.1258333,19.34805556,True
12.15,BI,11.8706665039062,1069.91137695312,28.2571983337402,0.723023891448975,993.787048339844,-2.83127999305725,2.21394562721252,-155.5152744,19.13310292,True
12.16,BI,NA,NA,652.5535888671875,NA,NA,NA,NA,-155.57035,19.16877,NA
14.0,BI,12.2062501907349,3764.1796875,202.67170715332,0.69474858045578,1062.00842285156,-7.36817216873169,2.27826762199402,-155.5855501,19.06032754,True
21.3,BI,14.8703336715698,7397.35302734375,362.006072998047,0.878270149230957,1493.43090820312,-4.09219598770142,1.72787618637085,-155.48861,19.20667,True
23.0,BI,10.935417175293,12784.630859375,1765.57470703125,0.429247051477432,886.509338378906,-0.460423797369003,1.30787634849548,-155.78,19.23222222,True
24.1,BI,11.683500289917,2378.27197265625,430.339141845703,0.820525407791138,1079.46154785156,-0.442419677972794,0.919179379940033,-155.8738768,19.27032215,True
24.4,BI,11.8706665039062,1068.99267578125,119.717140197754,0.635603785514832,881.841003417969,-12.6160259246826,0.929013907909393,-155.883,19.317,True
26.2,BI,12.9787502288818,1904.79553222656,438.531311035156,0.790869295597076,1252.6904296875,3.39966201782227,1.09858298301697,-155.9122125,19.48975723,True
36.3,BI,15.1754169464111,8845.509765625,525.446899414062,0.74329674243927,1393.39770507812,-3.61115002632141,1.62729954719543,-155.441781,19.25811,True
38.9,BI,3.85458326339722,783.72802734375,17.5796890258789,0.168552786111832,1501.29272460938,NA,4.76810169219971,-155.1075,19.29277778,True
39.0,BI,3.85458326339722,36988.44921875,3389.35986328125,0.359360545873642,452.076965332031,8.18996143341064,3.39387559890747,-155.5763,19.5362,True
39.1,BI,3.85458326339722,37498.30859375,3336.4248046875,0.119856975972652,462.408264160156,-3.54201245307922,3.20884490013123,-155.5722206,19.53863295,True
39.2,BI,3.85458326339722,36988.44921875,3389.35986328125,0.359360545873642,452.076965332031,8.18996143341064,3.39387559890747,-155.576,19.5354,True
43.3,BI,13.5561666488647,532.668395996094,20.6550979614258,0.678917169570923,272.211242675781,NA,1.40677630901337,-155.8211111,20.025,True
47.0,BI,3.85458326339722,24939.888671875,1699.40905761719,0.49653697013855,1738.5419921875,-0.689102172851562,2.8155312538147,-155.3627778,19.47555556,True
48.0,BI,15.1754169464111,6143.66796875,847.855407714844,0.617873191833496,2037.64123535156,2.17580676078796,3.4573495388031,-155.2922222,19.3175,True
49.0,BI,10.935417175293,24634.392578125,1667.15747070312,0.413820058107376,1737.07067871094,-2.83288073539734,2.25066304206848,-155.3588889,19.47361111,True
54.0,BI,11.564582824707,18181.861328125,1210.46179199219,0.688934087753296,2650.79370117188,6.26872253417969,2.85806012153625,-155.257146,19.429741,True
54.8,BI,12.3316669464111,16445.181640625,1195.96142578125,0.844297349452972,2753.94262695312,23.9026794433594,3.10652351379395,-155.23833,19.41528,True
54.9,BI,14.1107501983643,23583.5234375,1044.59936523438,1.0,4584.01123046875,-2.05531311035156,2.01180934906006,-155.215,19.47833,True
55.4,BI,12.3316669464111,21746.875,676.40234375,0.968215584754944,5553.15869140625,4.9255576133728,1.64175260066986,-155.14389,19.52194,True
63.0,BI,11.8706665039062,943.749633789062,6.63488912582397,0.596785485744476,496.763092041016,-2.65373706817627,1.48981976509094,-156.0202778,19.67277778,True
68.13,BI,11.564582824707,471.716552734375,2.8627622127533,0.296708643436432,329.430236816406,NA,1.86525106430054,-156.0586039,19.72779668,True
68.21,BI,3.85458326339722,943.380310058594,10.7485628128052,0.152387693524361,339.823455810547,1.74404883384705,2.50481271743774,-156.04889,19.73556,True
68.61,BI,NA,NA,528.5282592773438,NA,NA,NA,NA,-155.957474,19.668669,NA
69.25,BI,11.3028335571289,6148.23876953125,258.576080322266,0.564997375011444,797.886596679688,-2.20953106880188,1.54949843883514,-155.99582,19.73756,True
69.28,BI,NA,NA,448.5485534667969,NA,NA,NA,NA,-155.978,19.707,NA
69.51,BI,NA,NA,159.89959716796875,NA,NA,NA,NA,-155.96,19.61,NA
70.7,BI,NA,NA,1660.491943359375,NA,NA,NA,NA,-155.87389,19.72544,NA
73.2,BI,12.9787502288818,3679.65307617188,467.780487060547,0.854753792285919,1445.7314453125,0.6863072514534,1.02637684345245,-155.9255461,19.53364321,True
75.1,BI,8.92791652679443,29035.84765625,1604.48461914062,0.29313063621521,464.243225097656,-3.23666882514954,1.64167177677155,-155.7077778,19.66694444,True
79.0,BI,10.6704168319702,30348.6875,1578.48767089844,0.806315898895264,2680.80029296875,-1.49463903903961,1.59319865703583,-155.3005575,19.54863532,True
87.0,BI,11.564582824707,1432.36389160156,9.75322437286377,0.96280437707901,3315.2763671875,0.0133390827104449,1.64736819267273,-155.053,19.7191,True
87.5,BI,12.3316669464111,8994.6201171875,192.839569091797,0.88638824224472,4107.802734375,2.58397603034973,1.42990016937256,-155.0827,19.645,True
87.9,BI,12.3316669464111,3446.09936523438,108.585105895996,0.81585681438446,3906.49072265625,4.81825304031372,1.41002321243286,-155.0954,19.69748,True
